category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6,,,,,
benefit_level,Level of Monthly Benefits (PIA),B1.2,Progressive price indexing (30th percentile) of PIA factors +,Progressive price indexing (30th percentile) of PIA factors beginning with individuals newly eligible for OASDI benefits in 2031: Create a new bend point at the 30th percentile of the AIME distribution of newly retired workers. Maintain current-law benefits for earners at the 30th percentile and below. Reduce the 32 and 15 percent factors above the 30th percentile such that the initial benefit for a worker with AIME equal to the taxable maximum grows by inflation rather than the growth in the SSA average wage index.,,1.64,4.34,47,94,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B1.3,Progressive price indexing (40th percentile) of PIA factors +,Progressive price indexing (40th percentile) of PIA factors beginning with individuals newly eligible for OASDI benefits in 2031: Create a new bend point at the 40th percentile of the AIME distribution of newly retired workers. Maintain current-law benefits for earners at the 40th percentile and below. Reduce the 32 and 15 percent factors above the 40th percentile such that the initial benefit for a worker with AIME equal to the taxable maximum grows by inflation rather than the growth in the SSA average wage index.,,1.4,3.71,40,80,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B1.4,Progressive price indexing (50th percentile) of PIA factors +,Progressive price indexing (50th percentile) of PIA factors beginning with individuals newly eligible for OASDI benefits in 2031: Create a new bend point at the 50th percentile of the AIME distribution of newly retired workers. Maintain current-law benefits for earners at the 50th percentile and below. Reduce the 32 and 15 percent factors above the 50th percentile such that the initial benefit for a worker with AIME equal to the taxable maximum grows by inflation rather than the growth in the SSA average wage index.,,1.17,2.91,33,63,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B1.5,Progressive price indexing (60th percentile) of PIA factors +,Progressive price indexing (60th percentile) of PIA factors beginning with individuals newly eligible for OASDI benefits in 2031: Create a new bend point at the 60th percentile of the AIME distribution of newly retired workers. Maintain current-law benefits for earners at the 60th percentile and below. Reduce the 32 and 15 percent factors above the 60th percentile such that the initial benefit for a worker with AIME equal to the taxable maximum grows by inflation rather than the growth in the SSA average wage index.,,0.88,1.99,25,43,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B2.1,PIA formula factors decrease due to increased longevity,PIA formula factors decrease due to increased longevity for those newly eligible in 2034.,Adjusts benefits based on demographic changes; Affects only future beneficiaries; Long-range effect: 0.56% of payroll; 75th year effect: 1.72% of payroll; Long-range shortfall eliminated: 16%; 75th year shortfall eliminated: 37%,0.56,1.72,16,37,Long-range effect: 0.56% of payroll,75th year effect: 1.72% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run110.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run110.html,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.10,,"Beginning with those newly eligible for OASDI benefits in 2031, gradually increase the first PIA bend point in each year so that it is 15 percent higher for those newly eligible in 2045 and later.",,-0.39,-0.71,-11,-15,,,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run212.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run212.html,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.11,,Increase the first PIA factor from 90 percent to 93 percent for all beneficiaries eligible as of January 2026 and for those newly eligible for benefits after 2025.,,-0.24,-0.26,-7,-6,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.12,,"Use an annualized ""mini-PIA"" formula beginning with retired workers newly eligible in 2031. For each indexed earnings year, compute an individual AIME and an individual PIA. Sum these individual PIAs for the 40 highest years of indexed earnings and divide that total amount by 37 to get the PIA for this provision. Phase-in over five years, meaning that in 2031, 80 percent of the benefit would be based on the old 35-year average PIA formula and 20 percent on the new mini-PIA formula, shifting by 20 percentage points each year until 100 percent is based on the new mini-PIA formula for those attaining age 62 in 2035. Disabled worker benefits are unchanged under this provision.",,0.23,0.37,7,8,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.13,,"For retired worker beneficiaries newly eligible in 2031 (excluding disabled workers), add a new bend point at the wage-indexed equivalent of the 50th percentile of the AIME distribution minus $100 (for 2015 eligibility) and change the PIA factors to 95/32/15/5. Also move the current-law first bend point from the wage-indexed equivalent of $1,174 in 2023 to $1,493 in 2024. Phase this provision in over 10 years (2031-2040). The phase-in would work on a weighted-average basis: 90% of CL formula + 10% of proposal formula for 2031, 80% of CL formula + 20% of proposal formula for 2032, and so on.",,0.1,0.21,3,5,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.14,,"Beginning with those newly eligible for OASDI benefits in 2026, reduce the 15 percent PIA factor by 2 percentage points per year so that it reaches 5 percent for those newly eligible in 2030 and later.",,0.37,0.55,11,12,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.15,,"Increase the 90 percent PIA formula factor to 91 percent for beneficiaries newly eligible in 2029, 92 percent for those newly eligible in 2030, ..., reaching 95 percent for those newly eligible in 2033 and later.",,-0.28,-0.44,-8,-10,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.16,,"For the OASI and DI computation of the PIA, gradually reduce the maximum number of drop-out years from 5 to 0, phased in over the years 2026-2034.",,1,1.75,28,38,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.17,,"Reduce the number of computation years (increase dropout years) for parents having a child in care under the age of 6. The parent must have no earnings (covered or non-covered) for the year to be eligible for the credit. Only one parent can claim the childcare added dropout year for a given earnings year. Each parent can earn at most 2 dropout years per child, and a maximum of 5 dropout years in total.",,-1.48,-1.57,-42,-34,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.8,,"Beginning with those newly eligible for OASDI benefits in 2031, create a new bend point at the 50th percentile of the AIME distribution of newly retired workers and gradually reduce all PIA factors except for the 90 percent factor. By 2064: a) the 32 percent PIA factor below the new bend point reduces to 30 percent; b) the 32 percent PIA factor above the new bend point reduces to 10 percent; and c) the 15 percent PIA factor reduces to 5 percent.",,1.02,2.43,29,52,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B3.9,,"Beginning with those newly eligible for OASDI benefits in 2037, gradually reduce the 15 percent PIA factor in each year so that it reaches 10 percent for those newly eligible in 2066 and later.",,0.1,0.27,3,6,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B4.1,,"Increase the number of years used to calculate benefits for retirees and survivors (but not for disabled workers) from 35 to 38, phased in over the years 2025-2029.",,0.28,0.39,8,8,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B4.2,,"Increase the number of years used to calculate benefits for retirees and survivors (but not for disabled workers) from 35 to 40, phased in over the years 2025-2033.",,0.45,0.66,13,14,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B4.3,,"For retired and disabled workers, reduce the maximum number of dropout years to 4 for workers newly eligible in 2026, to 3 for workers newly eligible in 2027, and to 2 for workers newly eligible in 2028 and later.",,0.59,0.89,17,19,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B4.4,,Give credit to parents with a child under 6 for earnings for up to five years. The earnings credited for a childcare year equal one half of the SSA average wage index. The credits are available for all past years to newly eligible retired-worker and disabled-worker beneficiaries starting in 2025. The 5 years are chosen to yield the largest increase in AIME.,,-0.06,-0.06,-2,-1,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B4.5,,"For retired worker and disabled worker beneficiaries becoming initially eligible in January 2031 or later, phase in a new benefit formula (from 2031 to 2040). Replace the existing two primary insurance amount (PIA) bend points with three new bend points.",,0.36,0.51,10,11,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.1,,"Increase the PIA to a level such that a worker with 30 years of earnings at the minimum wage level receives an adjusted PIA equal to 120 percent of the Federal poverty level for an aged individual. This provision takes full effect for all newly eligible OASDI workers in 2042, and is phased in for new eligibles in 2033 through 2041.",,0,0,0,0,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.10,,"Reconfigure the special minimum benefit, phased in for retired and disabled workers newly eligible from 2031 through 2040: (a) A year of work (YOW) coverage is equal to earnings at or above $10,875 in 2024 (reflecting a full-time worker earning the federal minimum wage), adjusted thereafter for wage growth.",,-0.38,-0.64,-11,-14,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.11,,"Beginning for those newly eligible in 2025, reconfigure the special minimum benefit: (a) The number of years of work (YOWs) is determined as total quarters of coverage divided by 4, ignoring any fraction. Childcare years are granted to parents who have a child under 6, with a limit of 5 such years.",,-0.09,-0.13,-3,-3,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.2,,"Beginning for those newly eligible in 2025, reconfigure the special minimum benefit: (a) A year of coverage is defined as a year in which 4 quarters of coverage are earned. (b) At implementation, set the PIA for 30 years of coverage equal to 125 percent of the monthly poverty level (about $1,519 in 2023).",,-0.13,-0.19,-4,-4,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.3,,"Beginning for those newly eligible in 2025, reconfigure the special minimum benefit: (a) A year of coverage is defined to be either a year in which 4 quarters of coverage are earned or a child is in care. Childcare years are granted to parents who have a child under 5, with a limit of 8 such years.",,-0.21,-0.29,-6,-6,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.4,,"Beginning for those newly eligible in 2031, reconfigure the special minimum benefit: (a) A year of coverage is defined as a year in which 4 quarters of coverage are earned. (b) At implementation, set the PIA for 30 years of coverage equal to 125 percent of the monthly poverty level.",,-0.09,-0.14,-3,-3,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.5,,"Beginning for those newly eligible in 2026, reconfigure the special minimum benefit: (a) A year of coverage is defined as a year in which either 20 percent of the old law maximum is earned or a child is in care. Childcare years are granted to parents who have a child under 6, with a limit of 8 such years.",,0,-0.01,0,0,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.6,,"Beginning for those newly eligible in 2025, reconfigure the special minimum benefit: (a) A year of coverage is defined to be either a year in which 4 quarters of coverage are earned or a child is in care. Childcare years are granted to parents who have a child under 6, with a limit of 5 such years.",,-0.07,-0.11,-2,-2,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.7,,"Beginning for those newly eligible in 2027, reconfigure the special minimum benefit: (a) The number of years of work (YOWs) is determined as total quarters of coverage divided by 4, ignoring any fraction. Childcare years are granted to parents who have a child under 6, with a limit of 5 such years.",,-0.02,0,-1,0,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.8,,"Beginning in 2029, create a Basic Minimum Benefit (BMB) within Social Security (i.e., the cost of the BMB would be charged as a cost to the OASI Trust Fund), with the following specifications: (1) Eligibility for the BMB would be limited to OASI beneficiaries who have attained normal retirement age (NRA) or above.",,-0.21,-0.25,-6,-5,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B5.9,,"Beginning for those newly eligible in 2026, reconfigure the special minimum benefit: (a) A year of coverage is defined as a year in which 4 quarters of coverage are earned. (b) At implementation, set the PIA for 40 years of coverage equal to 125 percent of the monthly Aged Federal poverty level (about $1,522 in 2023).",,-0.15,-0.23,-4,-5,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.1,,Provide a 5 percent increase to the monthly benefit amount (MBA) of any beneficiary who is 85 or older at the beginning of 2025 or who reaches their 85th birthday after the beginning of 2025.,,-0.13,-0.18,-4,-4,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.2,,Provide the same dollar amount increase to the monthly benefit amount (MBA) of any beneficiary who is 85 or older at the beginning of 2025 or who reaches their 85th birthday after the beginning of 2025. The dollar amount of increase equals 5 percent of the average retired-worker MBA in the prior year.,,-0.13,-0.18,-4,-4,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.3,,"Provide an increase in the benefit level of any beneficiary who is 85 or older at the beginning of 2026 or who reaches their 85th birthday after the beginning of 2026. Increase the beneficiary's PIA based on an amount equal to the average retired-worker PIA at the end of 2025, or at the end of the year age 80 if later.",,-0.16,-0.21,-5,-5,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.4,,"Starting in 2025, provide a 5 percent uniform benefit increase 24 years after initial benefit eligibility. Phase in the benefit increase at 1 percent per year from the 20th through 24th years after eligibility.",,-0.18,-0.24,-5,-5,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.5,,"Starting in 2027, provide a 5 percent uniform PIA increase 20 years after benefit eligibility. Phase in the PIA increase at 1 percent per year from the 16th through 20th years after eligibility.",,-0.28,-0.34,-8,-7,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.6,,"Starting in 2031, provide a uniform PIA increase in the 24th year of benefit eligibility. Phase in the PIA increase at 0.5 percent per year from the 15th through the 24th years of eligibility.",,-0.23,-0.32,-7,-7,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.7,,"Starting in 2031, provide an addition to monthly benefits for all beneficiaries who have been eligible for at least 20 years, with the following specifications: (1) Augment benefits (not the PIA) for those of qualifying age and eligibility duration with a MAGI below about $30,000 if single and $60,000 if married.",,-0.06,-0.07,-2,-1,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B6.8,,"Starting in January 2031, provide an additional monthly benefit equal to 1/12th of 2 percent of the AWI for the second prior year.",,,-0.3,-0.38,-8,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.10,,"Beginning in January 2027, eliminate the retirement earnings test for all beneficiaries under normal retirement age, including retired workers, aged spouses, aged widow(er)s, young spouses with a child in care, young surviving spouses with a child in care, and children.",,0.05,0.08,1,2,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.11,,"Provide an option to split the 8-percent delayed retirement credit (DRC) to offer a lump sum benefit at initial entitlement equal to 2 percent of the 8 percent DRC earned, and a 6 percent DRC on subsequent monthly benefits, effective for workers newly entitled to retired worker benefits in 2027 and later.",,0.03,0.12,1,3,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.12,,"Eliminate the DI 5-month waiting period for disabled workers and disabled surviving spouses, and eliminate the 24-month Medicare (HI) waiting period for individuals who have become entitled to Social Security disability benefits. Effective with 2025 applications.",,0,0,0,0,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.13,,"Eliminate completely the Windfall Elimination Provision (WEP) and Government Pension Offset (GPO), effective 2025.",,-0.09,-0.1,-3,-2,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.14,,"Eliminate completely the Windfall Elimination Provision (WEP) and Government Pension Offset (GPO), effective 2025.",,-0.12,-0.12,-4,-3,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.2,,Reduce benefits by 5 percent for those newly eligible for benefits in 2025 and later.,,0.62,0.85,18,18,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.3,,Increase benefits by 5 percent for all beneficiaries as of the beginning of 2025 and for those newly eligible for benefits after the beginning of 2025.,,-0.23,-0.32,-7,-7,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.5,,"Reduce individual Social Security benefits if modified adjusted gross income, or MAGI (AGI less taxable Social Security benefits plus nontaxable interest income) is above $60,000 for single taxpayers or $120,000 for taxpayers filing jointly.",,-0.8,-0.85,-23,-18,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.7,,"Replace the Windfall Elimination Provision (WEP) and Government Pension Offset (GPO) with a revised reduction for most OASI benefits based on all earnings, beginning with beneficiaries newly eligible in 2031.",,0.5,0.69,14,15,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.8,,"Beginning for newly eligible retired workers and spouses in 2031, all claimants who are married would receive a specified joint-and-survivor annuity benefit (i.e., surviving spouses would receive 75 percent of the decedents' benefits, in addition to their own) that would be payable if both were still alive.",,0.07,0.11,2,2,,,,,,,,,,,,,,,
benefit_level,Level of Monthly Benefits (PIA),B7.9,,"Replace the current-law WEP with a new calculation for most OASI and DI benefits based on covered and non-covered earnings, phased in for beneficiaries becoming newly eligible in 2031 through 2040.",,-0.01,-0.29,0,-6,,,,,,,,,,,,,,,
retirement_age,,C1.1,,"Starting with those age 62 in 2025, increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 68.",,0.43,0.71,12,15,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C1.2,,Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 68 for those age 62 in 2030).,,0.53,0.71,15,15,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C1.3,,Starting for those age 62 in 2025," index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years.""""",0.68,1.8,19,39,,,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run147.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run147.html,,,,,, ,,,,,
retirement_age,Retirement Age,C1.4,"Increase NRA 3 months/year from 2025 to 2032, up to age 69",Increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2032 (NRA reaches 69 for those age 62 in 2032). Increase the age up to which delayed retirement credits may be earned from 70 to 72 on the same schedule.,,1.32,2.56,38,55,,,,,,,,,, ,,,,,
retirement_age,Retirement Age,C1.6,,Increase the earliest eligibility age (EEA) by 2 months per year for those age 62 starting in 2026 and ending in 2043 (EEA reaches 65 for those age 62 in 2043).,,0.64,1.35,18,29,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C1.7,,Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also,1.01,1.36,29,29,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C2.1,,Starting for those age 62 in 2025," index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also  raise the earliest eligibility age (EEA) for retired-workers  aged widow(er)s  and disabled widow(er)s by the same amount as the NRA.""""",-0.1,-0.44,-3,-9,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C2.2,,Increase the normal retirement age (NRA) 2 months per year for those age 62 starting in 2025 and ending in 2036 (NRA reaches 69 for those age 62 in 2036). Thereafter," increase the NRA 1 month every 2 years.""""",0.66,1.51,19,33,,,,,,,,,,, ,,,,
retirement_age,Retirement Age,C2.3,,Starting with those age 62 in 2025," increase the normal retirement age (NRA) 1 month every 2 years until the NRA reaches 69. Also increase the age up to which the delayed retirement credit may be earned at the same rate (from 70 to 72). No change to earliest eligibility age.""""",0.49,1.15,14,25,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C2.4,,Starting for those age 62 in 2025, increase both the normal retirement age (NRA) and the earliest eligibility age (EEA) by 36/47 of a month per year until the NRA and EEA reach 70 and 65 respectively. For each year,0.91,1.81,26,39,,,,,,,,,,,,,,,
retirement_age,Retirement Age,C2.5,,Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also,1.65,2.93,47,63,,,,,,,,,,,, ,,,
retirement_age,Retirement Age,C2.6,,Starting for those age 62 in 2025," increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 67 and 6 months for those age 62 in 2030); thereafter increase the NRA 2 months per year until reaching 69; thereafter increase the NRA 1 month every 2 years.""""",0.92,1.05,26,23,,,,,,,,,,,,,,, 
retirement_age,Retirement Age,C2.7,,Starting for those age 62 in 2025," increase the normal retirement age (NRA) 3 months per year until reaching 69 for those age 62 in 2033; thereafter increase the NRA 1 month every 2 years until it reaches 70 for those age 62 in 2057.""""",0.86,1.05,25,23,,,,,,,,,,, ,,,,
retirement_age,Retirement Age,C2.8,,Starting for those age 62 in 2031," increase the normal retirement age (NRA) 2 months per year until reaching 69 and 8 months for those age 62 in 2042.""""",0.38,0.68,11,15,,,,,,,,,,, ,,,,
family_benefits,Benefits for Family Members,D1,,Beginning in 2025, continue benefits for children of disabled or deceased workers until age 22 if the child is in high school,-0.05,-0.05,-1,-1,,,,,,,,,,,, ,,,
family_benefits,Benefits for Family Members,D2,,The current spouse benefit is based on 50 percent of the PIA of the other spouse. Reduce this percent each year by 1 percentage point beginning with newly eligible spouses in 2025," until the percent reaches 33 in 2041.""""",0.09,0.13,3,3,,,,,,,,,,,, ,,,
family_benefits,Benefits for Family Members,D3,,Allow divorced aged spouses and divorced surviving spouses married 5 to 9 years to get benefits based on the former spouse's account. Divorced aged and surviving spouses would receive 50% of the applicable current law PIA percentage if married 5 years, 60% of the applicable PIA percentage if married 6 years,-0.01,-0.01,0,0,Long-range effect: -0.1% of payroll,75th year effect: -0.11% of payroll,https://www.ssa.gov/oact/solvency/provisions/charts/chart_run130.html,https://www.ssa.gov/oact/solvency/provisions/tables/table_run130.html,,,,,,, ,,,,
family_benefits,Benefits for Family Members,D4,Alternative survivor benefit equal to 75% of combined benefits,"Alternative survivor benefit equal to 75% of combined survivor and deceased benefits, capped at average wage-indexed PIA.",Improves benefits for many survivors; Targets support to vulnerable populations; Long-range effect: -0.1% of payroll; 75th year effect: -0.11% of payroll; Long-range shortfall eliminated: -3%; 75th year shortfall eliminated: -2%,-0.1,-0.11,-3,-2,,,,,,,,,,, ,,,,
