category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6
payroll_tax,Payroll Tax,E2.12,"Apply 12.4% payroll tax on earnings above $400,000","Apply 12.4 percent payroll tax rate on earnings above $400,000 starting in 2025 and tax all earnings once the current-law taxable maximum exceeds $400,000. Do not provide benefit credit for additional earnings taxed.","Increases revenue by targeting very high earners; Long-range effect: 2.01% of payroll; 75th year effect: 2.15% of payroll",2.01,2.15,57,46,"Long-range effect: 2.01% of payroll","75th year effect: 2.15% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run172.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run172.html",,,,,,
payroll_tax,Payroll Tax,E2.13,"Apply 12.4% payroll tax on earnings above $400,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $400,000 starting in 2026, and tax all earnings once the current-law taxable maximum exceeds $400,000. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.","Increases revenue while providing some benefit credit for additional taxes; Long-range effect: 2.20% of payroll; 75th year effect: 2.45% of payroll",2.20,2.45,63,53,"Long-range effect: 2.20% of payroll","75th year effect: 2.45% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run173.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run173.html",,,,,,
payroll_tax,Payroll Tax,E2.14,"Apply 12.4% payroll tax on earnings above $250,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 2 percent formula factor.","Increases revenue by targeting high earners with some benefit credit; Long-range effect: 2.38% of payroll; 75th year effect: 2.44% of payroll",2.38,2.44,68,53,"Long-range effect: 2.38% of payroll","75th year effect: 2.44% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run174.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run174.html",,,,,,
payroll_tax,Payroll Tax,E2.15,"Apply 12.4% payroll tax on earnings above $300,000 with benefit credit","Apply OASDI 12.4 percent payroll tax rate on earnings above $300,000 starting in 2026. Provide benefit credit using a secondary PIA formula with 3 percent formula factor.","Increases revenue with higher benefit credit percentage for affected earnings; Long-range effect: 2.28% of payroll; 75th year effect: 2.36% of payroll",2.28,2.36,65,51,"Long-range effect: 2.28% of payroll","75th year effect: 2.36% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run175.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run175.html",,,,,,
payroll_tax,Payroll Tax,E2.16,"Apply 12.4% payroll tax on earnings above $250,000 with wage index adjustment","Apply OASDI 12.4 percent payroll tax rate on earnings above $250,000 starting in 2025. Increase the computed level of the SSA average wage index for years after 2024. Provide benefit credit using a secondary PIA formula.","Complex approach with both tax changes and wage index adjustments; Long-range effect: 2.34% of payroll; 75th year effect: 2.38% of payroll",2.34,2.38,67,51,"Long-range effect: 2.34% of payroll","75th year effect: 2.38% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run176.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run176.html",,,,,,
payroll_tax,Payroll Tax,E2.18,"Increase taxable maximum to 90% of earnings","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.","Increases taxable earnings base more broadly; Long-range effect: 2.18% of payroll; 75th year effect: 2.46% of payroll",2.18,2.46,62,53,"Long-range effect: 2.18% of payroll","75th year effect: 2.46% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run178.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run178.html",,,,,,
payroll_tax,Payroll Tax,E3.1,"Increase taxable maximum to 90% without benefit credit","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Do not provide benefit credit for additional earnings taxed.","Increases revenue without increasing benefits; Long-range effect: 0.84% of payroll; 75th year effect: 0.69% of payroll",0.84,0.69,24,15,"Long-range effect: 0.84% of payroll","75th year effect: 0.69% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run181.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run181.html",,,,,,
payroll_tax,Payroll Tax,E3.2,"Increase taxable maximum to 90% with benefit credit","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in 2025-2034). Provide benefit credit for earnings up to the revised taxable maximum.","Increases revenue with proportional benefit increases; Long-range effect: 1.08% of payroll; 75th year effect: 1.19% of payroll",1.08,1.19,31,26,"Long-range effect: 1.08% of payroll","75th year effect: 1.19% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run182.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run182.html",,,,,,
payroll_tax,Payroll Tax,E3.5,"Increase taxable maximum by 2% per year starting in 2025","Increase the taxable maximum each year by an additional 2 percent beginning in 2025 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit for earnings up to the revised taxable maximum.","Gradual increase in taxable earnings base; Long-range effect: 0.70% of payroll; 75th year effect: 0.72% of payroll",0.70,0.72,20,16,"Long-range effect: 0.70% of payroll","75th year effect: 0.72% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run185.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run185.html",,,,,,
payroll_tax,Payroll Tax,E3.6,"Increase taxable maximum by 2% per year starting in 2027 without benefit credit","Increase the taxable maximum each year by an additional 2 percent beginning in 2027 until taxable earnings equal 90 percent of covered earnings. Do not provide benefit credit for additional earnings taxed.","Increases revenue without increasing benefits; Long-range effect: 0.83% of payroll; 75th year effect: 1.19% of payroll",0.83,1.19,24,26,"Long-range effect: 0.83% of payroll","75th year effect: 1.19% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run186.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run186.html",,,,,,
payroll_tax,Payroll Tax,E3.7,"Increase taxable maximum by 2% per year with 5% formula factor","Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Provide benefit credit with a 5 percent formula factor applying above the current-law taxable maximum.","Progressive approach with greater revenue gains than benefit increases; Long-range effect: 0.72% of payroll; 75th year effect: 0.87% of payroll",0.72,0.87,21,19,"Long-range effect: 0.72% of payroll","75th year effect: 0.87% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run187.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run187.html",,,,,,
payroll_tax,Payroll Tax,E3.8,"Apply 2% payroll tax rate on earnings over $366,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032), with proportional benefit credit.","Modest additional revenue with proportional benefits; Long-range effect: 0.18% of payroll; 75th year effect: 0.10% of payroll",0.18,0.10,5,2,"Long-range effect: 0.18% of payroll","75th year effect: 0.10% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run188.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run188.html",,,,,,
payroll_tax,Payroll Tax,E3.9,"Apply 2% payroll tax rate on earnings over $366,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $200,000 in 2017 (about $366,000 in 2032). Do not provide benefit credit for additional earnings taxed.","Targets high earners with no additional benefits; Long-range effect: 0.26% of payroll; 75th year effect: 0.30% of payroll",0.26,0.30,7,6,"Long-range effect: 0.26% of payroll","75th year effect: 0.30% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run189.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run189.html",,,,,,
payroll_tax,Payroll Tax,E3.10,"Apply 2% payroll tax rate on earnings over $549,000 with proportional credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032), with proportional benefit credit.","Very targeted approach for highest earners; Long-range effect: 0.13% of payroll; 75th year effect: 0.07% of payroll",0.13,0.07,4,2,"Long-range effect: 0.13% of payroll","75th year effect: 0.07% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run190.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run190.html",,,,,,
payroll_tax,Payroll Tax,E3.11,"Apply 2% payroll tax rate on earnings over $549,000 without benefit credit","Beginning in 2032, apply 2 percent payroll tax rate on earnings over the wage-indexed equivalent of $300,000 in 2017 (about $549,000 in 2032). Do not provide benefit credit for additional earnings taxed.","Increased revenue from highest earners; Long-range effect: 0.19% of payroll; 75th year effect: 0.22% of payroll",0.19,0.22,6,5,"Long-range effect: 0.19% of payroll","75th year effect: 0.22% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run191.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run191.html",,,,,,
payroll_tax,Payroll Tax,E3.13,"Increase taxable maximum by twice the rate of AWI but never below 3%","Beginning in 2026, increase the taxable maximum by twice the rate of increase in the national Average Wage Index, but never by less than 3 percent. Provide benefit credit for earnings up to the revised taxable maximum levels.","Accelerated growth in taxable maximum with minimum increase guarantee; Long-range effect: 0.16% of payroll; 75th year effect: 0.18% of payroll",0.16,0.18,4,4,"Long-range effect: 0.16% of payroll","75th year effect: 0.18% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run193.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run193.html",,,,,,
payroll_tax,Payroll Tax,E3.14,"Increase taxable maximum to 90% plus 6.2% tax rate above that level","Increase the taxable maximum such that 90 percent of earnings are subject to the payroll tax (phased in 2025-2034). In addition, apply a tax rate of 6.2 percent for earnings above the revised taxable maximum. Provide benefit credit for earnings taxed up to the revised taxable maximum.","Two-tier approach with significant revenue increase; Long-range effect: 1.56% of payroll; 75th year effect: 1.45% of payroll",1.56,1.45,45,31,"Long-range effect: 1.56% of payroll","75th year effect: 1.45% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run194.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run194.html",,,,,,
payroll_tax,Payroll Tax,E3.15,"Increase taxable maximum to $291,000 by 2029","Increase the taxable maximum linearly over 4 years to $291,000 for 2029. After 2029, index the taxable maximum to AWI plus 0.5 percentage point. Apply benefit credit on additional earnings taxed.","Specific target increase with higher indexing; Long-range effect: 1.52% of payroll; 75th year effect: 1.41% of payroll",1.52,1.41,43,30,"Long-range effect: 1.52% of payroll","75th year effect: 1.41% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run195.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run195.html",,,,,,
payroll_tax,Payroll Tax,E3.16,"Increase taxable maximum to 90% with new bend point","Increase the taxable maximum by an additional 2 percent per year beginning in 2026 until taxable earnings equal 90 percent of covered earnings. Create a new bend point equal to the current-law taxable maximum with a 5 percent formula factor applying above the new bend point.","Combination of tax base increase and benefit formula change; Long-range effect: 0.32% of payroll; 75th year effect: 0.33% of payroll",0.32,0.33,9,7,"Long-range effect: 0.32% of payroll","75th year effect: 0.33% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run196.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run196.html",,,,,,
payroll_tax,Payroll Tax,E3.17,"Increase taxable maximum to 90% with 2.5% formula factor","Increase the taxable maximum such that 90 percent of earnings would be subject to the payroll tax (phased in linearly from 2026-2031). Provide benefit credit using a secondary PIA formula with a 2.5 percent formula factor.","Progressive approach with targeted benefit increases; Long-range effect: 1.13% of payroll; 75th year effect: 1.56% of payroll",1.13,1.56,32,34,"Long-range effect: 1.13% of payroll","75th year effect: 1.56% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run197.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run197.html",,,,,,
payroll_tax,Payroll Tax,E3.18,"Apply 2% payroll tax rate on earnings over $500,000","Beginning in 2026, apply 2 percent payroll tax rate for earnings above the wage-indexed equivalent of $400,000 in 2017 (about $500,000 in 2026), with proportional benefit credit using a PIA formula factor of 0.5 percent.","Moderate additional revenue from very high earners; Long-range effect: 0.66% of payroll; 75th year effect: 0.72% of payroll",0.66,0.72,19,16,"Long-range effect: 0.66% of payroll","75th year effect: 0.72% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run198.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run198.html",,,,,,
payroll_tax,Payroll Tax,E3.19,"Apply 2% payroll tax rate on earnings above $400,000 (not indexed)","Beginning in 2026, apply 2 percent payroll tax rate on earnings above $400,000 (not indexed for future years). Provide proportional benefit credit using a secondary PIA formula with a 0.5 percent formula factor.","Targets high earners with threshold that captures more income over time; Long-range effect: 1.05% of payroll; 75th year effect: 1.11% of payroll",1.05,1.11,30,24,"Long-range effect: 1.05% of payroll","75th year effect: 1.11% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run199.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run199.html",,,,,,
