category_id,category_name,provision_id,title,description,impacts,long_range_effect_raw,year_75_effect_raw,long_range_shortfall_pct,year_75_shortfall_pct,long_range_effect,year_75_effect,graph_link,table_link,Column1,Column2,Column3,Column4,Column5,Column6
retirement_age,Retirement Age,C2.5,"Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025 so as to maintain a 5 year difference between the two ages.","Starting for those age 62 in 2025, index the normal retirement age (NRA) to maintain a constant ratio of expected retirement years (life expectancy at NRA) to potential work years (NRA minus 20). We assume the NRA will increase 1 month every 2 years. Also, increase the earliest eligibility age (EEA) by the same amount as the NRA starting for those age 62 in 2025 so as to maintain a 5 year difference between the two ages.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 1.65% of payroll; 75th year effect: 2.93% of payroll",1.65,2.93,47,63,"Long-range effect: 1.65% of payroll","75th year effect: 2.93% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run135.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run135.html",,,,,,
retirement_age,Retirement Age,C2.6,"Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 67 and 6 months for those age 62 in 2030); thereafter increase the NRA 2 months per year until reaching 69; thereafter increase the NRA 1 month every 2 years.","Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year for those age 62 starting in 2025 and ending in 2030 (NRA reaches 67 and 6 months for those age 62 in 2030); thereafter increase the NRA 2 months per year until reaching 69; thereafter increase the NRA 1 month every 2 years.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.92% of payroll; 75th year effect: 1.05% of payroll",0.92,1.05,26,23,"Long-range effect: 0.92% of payroll","75th year effect: 1.05% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run136.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run136.html",,,,,,
retirement_age,Retirement Age,C2.7,"Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year until reaching 69 for those age 62 in 2033; thereafter increase the NRA 1 month every 2 years until it reaches 70 for those age 62 in 2057.","Starting for those age 62 in 2025, increase the normal retirement age (NRA) 3 months per year until reaching 69 for those age 62 in 2033; thereafter increase the NRA 1 month every 2 years until it reaches 70 for those age 62 in 2057.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.86% of payroll; 75th year effect: 1.05% of payroll",0.86,1.05,25,23,"Long-range effect: 0.86% of payroll","75th year effect: 1.05% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run137.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run137.html",,,,,,
retirement_age,Retirement Age,C2.8,"Starting for those age 62 in 2031, increase the normal retirement age (NRA) 2 months per year until reaching 69 and 8 months for those age 62 in 2042.","Starting for those age 62 in 2031, increase the normal retirement age (NRA) 2 months per year until reaching 69 and 8 months for those age 62 in 2042.","Adjusts retirement age based on longevity; Affects future retirees; Long-range effect: 0.38% of payroll; 75th year effect: 0.68% of payroll",0.38,0.68,11,15,"Long-range effect: 0.38% of payroll","75th year effect: 0.68% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run138.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run138.html",,,,,,
family_benefits,Benefits for Family Members,D1,"Beginning in 2025, continue benefits for children of disabled or deceased workers until age 22 if the child is in high school, college or vocational school.","Beginning in 2025, continue benefits for children of disabled or deceased workers until age 22 if the child is in high school, college or vocational school.","Enhances benefits for family members; Addresses specific needs; Long-range effect: -0.05% of payroll; 75th year effect: -0.05% of payroll",-0.05,-0.05,-1,-1,"Long-range effect: -0.05% of payroll","75th year effect: -0.05% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run141.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run141.html",,,,,,
family_benefits,Benefits for Family Members,D2,"The current spouse benefit is based on 50 percent of the PIA of the other spouse. Reduce this percent each year by 1 percentage point beginning with newly eligible spouses in 2025, until the percent reaches 33 in 2041.","The current spouse benefit is based on 50 percent of the PIA of the other spouse. Reduce this percent each year by 1 percentage point beginning with newly eligible spouses in 2025, until the percent reaches 33 in 2041.","Adjusts auxiliary benefits; Targets specific family situations; Long-range effect: 0.09% of payroll; 75th year effect: 0.13% of payroll",0.09,0.13,3,3,"Long-range effect: 0.09% of payroll","75th year effect: 0.13% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run142.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run142.html",,,,,,
family_benefits,Benefits for Family Members,D3,"Allow divorced aged spouses and divorced surviving spouses married 5 to 9 years to get benefits based on the former spouse's account. Divorced aged and surviving spouses would receive 50% of the applicable current law PIA percentage if married 5 years, 60% of the applicable PIA percentage if married 6 years, ..., 90% of the applicable PIA percentage if married 9 years.","Allow divorced aged spouses and divorced surviving spouses married 5 to 9 years to get benefits based on the former spouse's account. Divorced aged and surviving spouses would receive 50% of the applicable current law PIA percentage if married 5 years, 60% of the applicable PIA percentage if married 6 years, ..., 90% of the applicable PIA percentage if married 9 years.","Enhances benefits for family members; Addresses specific needs; Long-range effect: -0.01% of payroll; 75th year effect: -0.01% of payroll",-0.01,-0.01,0,0,"Long-range effect: -0.01% of payroll","75th year effect: -0.01% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run143.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run143.html",,,,,,
family_benefits,Benefits for Family Members,D4,"Establish an alternative benefit for a surviving spouse. For the surviving spouse, the alternative benefit would equal 75 percent of the sum of the survivor's own worker benefit and the deceased worker's PIA (including any actuarial reductions or delayed retirement credits).","Establish an alternative benefit for a surviving spouse. For the surviving spouse, the alternative benefit would equal 75 percent of the sum of the survivor's own worker benefit and the deceased worker's PIA (including any actuarial reductions or delayed retirement credits).","Enhances benefits for family members; Addresses specific needs; Long-range effect: -0.10% of payroll; 75th year effect: -0.11% of payroll",-0.10,-0.11,-3,-2,"Long-range effect: -0.10% of payroll","75th year effect: -0.11% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run144.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run144.html",,,,,,
payroll_tax,Payroll Tax,E1.1,"Increase the payroll tax rate (currently 12.4 percent) to 16.0 percent in 2025 and later.","Increase the payroll tax rate (currently 12.4 percent) to 16.0 percent in 2025 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 3.51% of payroll; 75th year effect: 3.62% of payroll",3.51,3.62,100,78,"Long-range effect: 3.51% of payroll","75th year effect: 3.62% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run151.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run151.html",,,,,,
payroll_tax,Payroll Tax,E1.2,"Increase the payroll tax rate (currently 12.4 percent) to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later.","Increase the payroll tax rate (currently 12.4 percent) to 15.9 percent in 2035-2064, and to 19.4 percent in years 2065 and later.","Increases revenue through payroll tax changes; Broadens funding base; Long-range effect: 4.13% of payroll; 75th year effect: 6.95% of payroll",4.13,6.95,118,150,"Long-range effect: 4.13% of payroll","75th year effect: 6.95% of payroll","https://www.ssa.gov/oact/solvency/provisions/charts/chart_run152.html","https://www.ssa.gov/oact/solvency/provisions/tables/table_run152.html",,,,,,
